,user_a,user_b
3000,Nó có thích mày không?,Không biết
3001,Lúc rãnh bạn thường làm gì?,Đi cafe
3002,Bạn có hay nghe nhạc lúc rãnh rỗi?,Thỉnh thoảng
3003,Vậy bạn thường đi cafe ở đâu?,Gần nhà
3004,Bạn thường đi với ai?,Bạn bè
3005,Ngoài đi café mỗi lúc rãnh thì bạn còn thú vui nào không?,Còn
3006,Đó là gì?,Xem phim
3007,Bạn thích mẫu người như thế nào?,"Ấm áp, thông minh."
3008,Khi hẹn hò bạn thích đi những nơi như thế nào?,Nơi náo nhiệt.
3009,Bạn có hay đi xem phim chiếu rạp với bạn trai không?,Thỉnh thoảng
3010,Còn bạn đã có người yêu chưa?,Chưa
3011,Bạn có đang thích ai không?,Có
3012,Cậu ấy là người như thế nào?,Là người thông minh
3013,Bạn có định tỏ tình với cậu ấy trong thời gian tới không?,Có
3014,rảnh đi đâu?,đi ăn
3015,nghe nhạc không?,nghe chứ
3016,có vẽ lúc rảnh không?,không bao giờ
3017,nấu ăn hay đọc sách,đọc sách
3018,đi ăn đâu giờ?,KFC đi
3019,mày thích con gái như nào?,thích con gái dễ thương
3020,thích bạn trai đeo mắt kiếng không?,có thích
3021,bạn đó tên gì?,tên Long
3022,làm sao để bạn đó thích mình?,bày tỏ đi
3023,nên lần đầu hẹn hò không?,thử cho biết
3024,Đang làm gì á?,Ngồi không thôi
3025,Rảnh rỗi vậy không có gì làm à?,Chút nữa đi ăn vặt uống cà phê.
3026,Lúc rãnh cậu uống cà phê à ?,Ừ. Cho thư giãn ấy mà.
3027,Ra quán cà phê nghe nhạc ư ?,Yên tĩnh lắm.
3028,Rảnh rỗi có làm gì khác không?,Lâu lâu có đi xem phim hoặc phượt.
3029,Đi một mình à?,Không. Đi với bạn bè này kia.
3030,Hay xem phim ở rạp hay ở nhà?,Xem ở rạp cho đã
3031,Bữa nào đi xem phim chung không ?,Có phim hay thì đi coi.
3032,Dạo này sao rồi?,Đang buồn
3033,Thất tình à?,Ừ
3034,Thích con nào?,Nhân viên ở quán cà phê tao hay đến.
3035,Làm quen chưa?,Quen lâu rồi. Quán quen mà.
3036,Thích nó chỗ nào?,Từ vóc dáng đến tính cách.
3037,Nó dễ thương lắm à ?,ừ
3038,Rồi sao buồn?,Tỏ tình nó mà nó bảo chưa quyết định được
3039,Tính tiếp tục không?,Đến khi nào nó đưa ra câu trả lời thì thôi.
3040,cuối tuần có đi đâu chơi không?,ở nhà ngủ
3041,mày không đi chơi à?,bài tập còn nhiều lắm
3042,đi công viên nước không mày?,không mày
3043,mày thường làm gì vào cuối tuần?,ở nhà xem phim
3044,mày định làm gì vào chủ nhật?,đi mua sắm
3045,hè có đi đâu chơi không?,đi du lịch
3046,có đi phượt với tụi nó không?,có chứ
3047,lúc rảnh thì mày làm gì?,nghe nhạc
3048,rảnh thì làm gì?,chơi với mèo
3049,nên làm gì khi bị crush từ chối?,quên nó đi
3050,mày nghĩ nó thích tao không?,chắc là có
3051,làm sao để crush thích mình?,gây ấn tượng tốt
3052,có nên thay đổi vì crush không?,hãy là chính mình
3053,mày nghĩ tao có cơ hội không?,có nha
3054,làm sao để tạo ấn tượng tốt với crush?,nói về những điều nó thích
3055,sao nó không thích tao?,mày không phải gu nó
3056,làm gì khi crush có người yêu?,crush người khác
3057,rảnh làm gì?,chơi game hoặc xem phim
3058,thích coi phim nào?,hành động
3059,phim thích nhất là phim gì?,avenger end game
3060,thích ra ngoài đường chơi không?,có
3061,có đi chơi với bạn không?,có
3062,làm gì để crush ấn tượng?,tạo cảm giác an tâm cho người ta
3063,nói chuyện gì với crush đây?,nói cái gì 2 bay thích?
3064,hay đi đâu chơi với người yêu?,ăn với xem phim
3065,thích người như thế nào?,tự lập
3066,thích bắt cá 2 tay không?,không
3067,lúc rãnh bạn thường làm gì?,mình thường đi chơi
3068,bạn thường đi chơi ở đâu?,mình thường đi chơi net
3069,bạn có làm cái khác ngoài việc trên không?,có mình thường đi chơi với bạn bè
3070,nếu bạn không đi ra ngoài thì lúc rãnh bạn làm gì?,mình đọc truyện xem phim
3071,ngoài làm việc giải trí lúc rãnh bạn còn làm gì nữa không?,mình xem bài học cho ngày mai
3072,bạn có hay đi ra ngoài ăn uống không?,có mình hay đi ăn với bạn bè
3073,bạn có crush chưa?,mình chưa có crush
3074,bạn thích người như thế nào?,mình thích người hiền lành
3075,mẫu người lý tưởng của bạn là gì?,"là người hoạt bát,vui vẻ, hiền lành"
3076,khi nào bạn có dự định về người yêu?,khi mình học xong
3077,bạn thích con trai hay con gái?,mình thích con gái
3078,rãnh làm gì ?,chơi game
3079,rãnh có đi cafe không ?,không
3080,thích đá bóng không ?,có
3081,thích chơi game hơn hay đá bóng hơn ?,chơi game
3082,rãnh hay đi đâu ?,chạy bộ
3083,bồ mày hay dỗi không ?,có
3084,rãnh hay đi đâu với bồ ?,đi shopping
3085,có hay tặng bồ mày cái gì không ?,có
3086,đi đà lạt với bồ chưa ?,chưa
3087,sợ chia tay với bồ không ?,có
3088,rãnh thì làm gì?,chơi game
3089,rãnh có đi chơi không?,lâu lâu đi
3090,có thích đọc sách khi rãnh không?,không thích
3091,rãnh không ngủ hả?,có chứ
3092,rãnh vậy đi chơi với tôi đi?,không đi
3093,mẫu người yêu là gì?,đẹp
3094,có bồ chưa?,chưa có
3095,ai dám yêu mày?,mày <3
3096,có thích trai giàu không?,không
3097,yêu trai Hà Nội chứ?,yêu luôn
3098,Êu Chủ Nhật nghỉ mày làm gì thế ?,Tao chơi game
3099,Chơi ở đâu ?,Chơi ở nhà chứ ở đâu
3100,Ủa có chơi game này không ?,Không m
3101,"Buồn thế, Chủ Nhật ra net đi",Tao lười lắm
3102,"Đi, t bao",Oke luôn
3103,Êu Hương cái Quỳnh thích ăn gì thế ?,Quỳnh thích ăn bánh tráng trộn
3104,Rồi đồ uống thì sao ?,Chắc là trà tắc
3105,Oke cảm ơn mày nhá,Sao mày hỏi về cái Quỳnh vậy ?
3106,À thì t thấy Quỳnh mệt,Á à thì ra mày crush Quỳnh phải không ?
3107,Ờ thì cũng có chút mà mày thân với Quỳnh nên t mới hỏi,Oke he he
3108,Lúc rảnh mày làm gì?,Đọc sách
3109,Lúc rảnh mày có đi đâu không?,Đôi khi
3110,Mày thích đi đâu nhất khi rảnh?,Tiệm cà phê
3111,Có thích ăn uống khi rảnh?,Đang muốn thử đây
3112,Mày thích nhất là ở đâu khi rảnh?,Ở nhà chứ ở đâu
3113,Thích làm gì nhất khi rảnh?,Đọc sách
3114,Mày có tập thể dục không?,Có
3115,Tập thể dục khi rảnh?,Thường xuyên luôn
3116,Có đi du lịch khi rảnh?,Nếu có tiền chứ
3117,Thích ở với gia đình khi rảnh?,Điều hiển nhiên
3118,Mày có thích ai chưa?,Đã từng
3119,Mẫu bạn đời mày như nào?,"Đẹp, siêng năng, có chí"
3120,Crush mày như nào thế?,Đẹp trai lắm mày ạ
3121,Mày có tính ở độc thân bao giờ?,Nhiều lần lắm mày ơi
3122,Mày có thích người đồng giới?,Tao nghĩ là không thể
3123,Mày có quan điểm gì về LGBT?,Không có quan điểm
3124,Mày có bao giờ thích bạn thân?,Có lẽ
3125,Mày từng bị đá?,Tất nhiên rồi
3126,Mày từng buồn vì ai đó?,Nhiều lắm mày ạ
3127,Quan điểm về trà xanh?,Ghét
3128,rảnh mày làm gì?,"chơi game, nghe nhạc"
3129,Mày hay đi xem phim không?,thỉnh thoảng
3130,mày xem phim ở đâu?,CGV
3131,mày chơi game gì?,GTAV
3132,Mày nghe thể loại nào?,Rap
3133,Crush mày biết mày thích nó không?,Trừ nó ai cũng biết
3134,Tặng gì cho crush?,chân thành
3135,Mày có người yêu?,Không
3136,crush từ chối thì làm gì?,fix bug
3137,Gu mày là gì?,Dễ thương
3138,cậu có rảnh không?,mình rảnh
3139,đi xem phim nhé?,ok
3140,đi ăn tối với mình đi?,yes
3141,tối nay đi xem bóng đá nhé?,đang bận học bài
3142,đi dạo đi mày?,đang bận
3143,tao thất tình,đi nhậu nhé
3144,muốn yêu con nhỏ đó?,cưa đổ đi
3145,nhỏ đó bao nhiêu tuổi?,nó 21
3146,nhỏ đó đẹp quá?,đừng mơ
3147,muốn tán nhỏ Lan?,nó có người yêu rồi
3148,rãnh thường làm gì ?,"ngủ, đi Café"
3149,chỗ cafe ưa thích?,những quán lề đường.
3150,liệt kê vài tiệm Café ưng ý?,the banned.
3151,có chơi game không?,có nhưng ít khi chơi.
3152,"đang crush 1 bạn, sao đây?",tới thôi.
3153,lúc rảnh thì mày làm gì ?,làm nhiều việc lắm
3154,nói tao nghe được không ?,"xem tivi, chơi game và nghe nhạc"
3155,có đi ra ngoài chơi không ?,bạn rủ tao mới đi
3156,hỏi cái này có chi không vậy ?,để làm khảo sát cho môn tao đang học
3157,không có gì nữa thì thôi nha ?,ok
3158,tâm sự chuyện tình cảm với tao đi ?,cũng được
3159,"tao đang crush 1 bạn, chỉ tao cách bắt chuyện?",dễ mà
3160,học khoa nào ?,khoa lao động công đoàn
3161,gặp ở đâu ?,lúc học thái độ sống 3
3162,kiếm được info chưa?,chưa luôn
3163,Khi rảnh bạn thường làm gì?,chơi game và nghe nhạc
3164,thường chơi game và nghe nhạc ở đâu?,ở nhà
3165,ngoài game và nghe nhạc còn làm gì không?,Nấu ăn
3166,một mình à?,Đúng
3167,Khi rảnh bạn có hay đi ra ngoài chơi không?,Có
3168,khi rảnh bạn có học bài không?,Học bài là bận rồi
3169,Khi rảnh bạn hay nghĩ về ai?,gia đình
3170,Khi yêu thì thích đi chơi ở đâu?,đi ăn cùng người yêu
3171,Vậy khi ăn thì thường ăn những món gì?,"Măn lẩu, món lề đường"
3172,có thường đi chơi xa không?,Có
3173,Người yêu bạn thích nhất hoa gì?,hoa hồng
3174,Người yêu bạn có khó tính không?,không có
3175,mày rãnh hay làm gì,"đi cafe, chơi game"
3176,mày thích đi bơi hông,có chứ
3177,mày có chơi cờ hông,"có, cờ nhân phẩm"
3178,ngày nghĩ mày hay đi đâu chơi không,tao hay đi Đà Lạt
3179,mày có thích sưu tầm gì hông,tao đang sưu tầm lego
3180,chớ có thích làm việc nhà không,tao cũng hay nấu ăn nếu rãnh mày ơi
3181,mày với bồ mày có điểm chung gì,hay đi phượt chung
3182,hai đứa bay có hay đi ăn đêm hông,có chứ
3183,"làm gì mày buồn như thất tình vậy, mới bị đá sao",mới tỏ tình bị từ chối
3184,ê mày con trai như nào mới cua được gái,bên ngoài đẹp trai bên trong nhiều tiền
3185,mày với Bình Nhi đang quen à,friend zone
3186,mày có thích tâm sự với bò mày hông,có hay nói với mấy thằng cùng phòng
3187,Mày thường gì lúc rảnh?,đọc sách.
3188,gì nữa không?,xem phim.
3189,thể loại gì?,khoa học viễn tưởng.
3190,coi ở đâu?,rạp hoặc nhà.
3191,có đi nhà sách không?,thỉnh thoảng.
3192,mua sắm thì sao?,không thường xuyên lắm.
3193,còn đi ăn?,có.
3194,hay đi với ai?,bạn bè.
3195,thích con trai hay con gái?,con trai.
3196,cao hay thấp?,cao.
3197,gì nữa?,học giỏi.
3198,gì nữa không?,ưa nhìn.
3199,về tính cách?,"hiền, ít nói, biết quan tâm."
3200,Khi rảnh bạn thường làm gì?,"đọc truyện, xem videos và chơi game"
3201,Bạn thường ở đâu khi rảnh?,quán cà phê?
3202,Bạn có thường chơi thế thao lúc rảnh không?,đi bơi
3203,Bạn thường chơi thể thao ở đâu?,Ở hồ bơi.
3204,Bạn có đọc sách lúc rảnh chứ?,chưa đọc bao giờ.
3205,Bạn có muốn thử không?,có
3206,Mình có thể tặng bạn 1 quyển sách để bạn thực hành?,Thanks.
3207,Tình trạng hôn nhân của bạn như thế nào?,đã có người yêu
3208,Người yêu bạn xinh không?,Chả ai yêu người xấu cả
3209,Bạn và người yêu bạn đã quen bao lâu rồi?,2 năm
3210,Bạn và người yêu bạn thường làm gì khi gặp nhau?,ăn uống và nói chuyện.
3211,Bạn sẻ cưới cô ấy chứ?,Không biết
3212,bạn có crush không?,có
3213,lâu chưa?,lâu rồi
3214,sao không tỏ tình đi?,không dám
3215,sao nhát vậy?,không biết
3216,quan điểm trong tình yêu?,"tôn trọng, tinh tế, biết để ý, rõ ràng, dứt khoác."
3217,crush của bạn thế nào?,"cao, đẹp, dễ thương, hơi ngố"
3218,crush có thích bạn không?,không biết
3219,crush thích ăn gì?,cái gì ngon là ăn
3220,crush không thích ăn gì?,"đồ ngọt, rau"
3221,crush có thói quen gì?,ngủ nhiều
3222,nhà crush ở đâu?,gần nhà tớ
3223,sáng mấy giờ cậu dậy?,8
3224,tối mấy giờ cậu ngủ?,12
3225,khi yêu thích gì?,đi ăn chung
3226,chủ nhật đi ăn lẩu không?,"đi, ăn lẩu teokbokki đi"
3227,rảnh là chơi game hả?,đúng rồi
3228,có hay đánh guitar lúc rảnh không?,lười nên chưa đánh được
3229,hay nấu ăn không?,không thích nấu
3230,hay xem phim nào?,mr.queen
3231,hay chơi thể thao không?,không
3232,thích làm gì để thư giãn?,nghe nhạc hoặc ngủ
3233,ngoài ngủ thì còn thích gì không?,"nghe nhạc, xem phim hoặc chơi game"
3234,thích vẽ không?,thích nhưng vẽ xấu nên không vẽ
3235,thích cùng người yêu đi đâu?,"xem phim, đi ăn hoặc đi du lịch cùng nhau"
3236,thích làm gì cùng người yêu?,gì cũng được miễn là cùng người yêu
3237,muốn đi du lịch với người yêu ở đâu?,đâu cũng muốn
3238,có đang crush ai không?,không
3239,mẫu người yêu như nào?,quan tâm và yêu thương tao
3240,Mày làm gì khi rảnh?,Tao xem phim hoặc chơi game gì đó.
3241,Rảnh mà mất điện thì mày làm gì?,Ngủ hoặc đi ăn gì đó ngon.
3242,Mày hay đi chơi với bạn mày khi rảnh không?,"Có chứ, mà ai thân rủ tao mới đi."
3243,Mày ăn gì khi rảnh?,Ăn gì thì tùy tâm trạng vui buồn.
3244,Có bao giờ rảnh mày chơi thể thao không?,"Ai rủ thì tao đi, chứ đi mình buồn lắm."
3245,Mày muốn đi đâu vơi crush?,Đi ăn gì đó ngon.
3246,Nhà crush của mày ở đâu?,Trong tim tao nè.
3247,Crush tao đẹp trai không?,Mày đoán xem.
3248,Tặng quà gì cho crush giờ?,Tặng gì ăn ké được
3249,Làm sao để quên crush?,Học NLP
3250,điểm rèn luyện,cần để xét tốt nghiệp
3251,làm sao có điểm rèn luyện,tham gia hoạt động
3252,tính điểm rèn luyện thế nào,trên hệ thống thông tin sinh viên
3253,có đi làm thêm,thỉnh thoảng
3254,làm thêm ở đâu,quán cà phê
3255,có đi đâu chơi,cảng nhà rồng
3256,có thích chơi game,thình thoảng
3257,game gì,mobile
3258,có người yêu,độc thân
3259,có crush,rồi
3260,cuộc thi nét đẹp sinh viên,có
3261,tổ chức khi nào,cuối tháng
3262,có tham gia,không
3263,"Ê mày, đang làm gì vậy",Chơi game
3264,Game gì,Liên minh
3265,Chơi cờ hả,"Không, đánh hạng"
3266,Vào trận chưa,Chưa
3267,"Chờ tao, tao mở máy cái",Ok
3268,"Ê mày, mày rảnh không",Rảnh
3269,Cho tao hỏi cái,Hỏi đi
3270,"Tao đang thích một bạn, không biết làm quen sao",Chung lớp hả
3271,Ừa,Inbox hỏi bài đi
3272,Hỏi sao,"Thì hỏi bài tập trên lớp, rồi bắt chuyện"
3273,Ngại lắm,"Ngại gì, mạnh dạn lên"
3274,"đi chơi, ngủ, xem youtube",thích làm gì khi rảnh rỗi?
3275,chơi bóng rổ,thích chơi game không?
3276,có,thích chơi bóng rổ hay thích chơi game?
3277,bóng rổ,có hay đi coffee với bạn bè không?
3278,thỉnh thoảng,có hay đi shopping không?
3279,có,có người yêu chưa?
3280,chưa,mẫu người lý tưởng?
3281,xinh là được,thích gái cao hay gái thấp?
3282,không quan trọng,thích gái Bắc hay gái Nam?
3283,Bắc Nam đều thích,có người yêu cũ không?
3284,không,tỏ tình với ai chưa?
3285,rồi,thích đi đâu chơi với người yêu?
3286,ê chơi liên minh không?,ok bro
3287,đang làm gì đấy?,nghe nhạc thôi
3288,"chán quá, đi ăn không?",thôi tao hết tiền rồi
3289,đi ăn không tao bao?,ok luôn nè
3290,mày thường uống nước ở đâu đấy,the coffee house
3291,"ê tao thích nhỏ lớp kế bên, giúp tao làm quen đi?",mày xấu như chó thì ai thèm quen
3292,tao buồn quá tâm sự với tao đi?,tự nói chuyện một mình đi
3293,valentine muốn mua quà gì?,son đi
3294,nhỏ đó có bạn trai chưa?,chưa mày
3295,thằng đó có bạn gái chưa?,hình như rồi
3296,Lúc rảnh làm gì?,Xem phim
3297,Có hay đi đá banh không?,Có
3298,Đá với ai?,Bạn
3299,Thường đá thứ mấy?,tối thứ 4 hàng tuần
3300,Đá sân nào?,Khu Trung sơn
3301,Chuyện tình cảm ra sao?,Đang Crush bạn kia
3302,Ai vậy?,Bạn nữ phòng bên
3303,Tình hình như nào?,đang tìm hiểu
3304,Crush như thế nào?,"Tóc ngắn, cute"
3305,Học khoa nào?,Luật
3306,rảnh làm gì?,chơi game
3307,rảnh làm gì?,nghe nhạc
3308,có đi xem phim không?,có
3309,có đi ăn không?,có
3310,rảnh ở đâu?,nhà
3311,rảnh có đi tập thể dục không?,thỉnh thoảng
3312,rảnh có đi chơi với người yêu không?,có
3313,yêu ai chưa?,chưa
3314,thích ai?,đứa bạn thân
3315,mẫu người lý tưởng?,"đẹp gái, hiền lành"
3316,có crush ai không?,có
3317,muốn có người yêu không?,muốn
3318,thích chủ động không?,có
3319,Đi xem phim không?,Covid ở nhà
3320,Đi shopping không?,Covid ở nhà
3321,Có làm thêm không?,Covid ở nhà
3322,Đi nhậu không?,Covid ở nhà
3323,Đang ở đâu?,Ở nhà
3324,Rảnh có nghe nhạc không?,Có
3325,Rảnh có xem phim không?,Có
3326,Rảnh có đi ra ngoài không?,Covid ở nhà
3327,Rảnh ở nhà làm gì?,Ngồi trả lời bạn
3328,chơi game không?,chơi
3329,đi chơi không?,đi
3330,có đi về quê không?,có chứ
3331,đang ở đâu á?,trong trường
3332,bắn pubg không?,vô đi đang chờ
3333,đi đá banh không?,đi
3334,thắng hay thua?,thắng
3335,đánh với team nào?,tụi xóm trên
3336,nhỏ đó được không?,trong cũng xinh
3337,tán con lớp trưởng đi?,thôi mày ơi
3338,nhỏ nảy được không?,nhìn cũng ngon đó
3339,nó còn yêu mày không?,chắc không
3340,gu mày sao?,đẹp với ngoan
3341,nó có để ý mày không?,nó chả thèm nhìn tao nữa
3342,Những lúc không học thì có chỗ nào ngồi giải trí không ?,Đầy chỗ bạn ạ.
3343,Những lúc rãnh rỗi anh/chị thường giải trí ở đâu trong trường ?,nhà B lầu 5
3344,Trường có nhiều bạn gái không ?,đi đâu cũng thấy nhé
3345,Có dễ tìm thấy tính yêu trong trường không ?,Dễ nếu bạn giói tán gái
3346,Bạn có crush ai chưa ?,chưa
3347,bạn có tính có người yêu không ?,Không
3348,rảnh thường làm gì?,chơi game
3349,game gì?,liên minh
3350,chơi ở đâu?,ở nhà
3351,chơi giỏi không?,cũng tạm
3352,có chơi thể thao không?,đá bóng
3353,có hay chạy bộ không?,không
3354,nghe nhạc thì sao?,thỉnh thoảng
3355,có người yêu chưa?,chưa
3356,vậy còn crush?,có
3357,crush đẹp không?,đẹp chứ
3358,crush thích bạn không?,không
3359,hẹn hò ở đâu?,công viên
3360,đi chơi gì?,xem phim
3361,đi chơi gì?,ăn uống
3362,crush nhiêu tuổi?,hơn 5
3363,Mày có bạn không?,Có
3364,Nhiêu bạn?,Nhiều
3365,Bạn tốt không,Rất tốt
3366,Chơi chung vui không?,Vui chứ
3367,Thích bạn trên mạng không?,Có cũng vui
3368,bạn bè sao?,Cũng được
3369,chơi được không?,Không đến nỗi
3370,tên gì?,Đạt
3371,thân với ai?,Trường
3372,lúc mày buồn thì sao?,Đi ăn
3373,hay đi chơi chung không?,Cũng không
3374,nó là người như thế nào?,Mập
3375,nó quê ở đâu?,Bến Tre
3376,quan điểm bạn bè của mày là gì?,đi ăn chung là được
3377,bạn bè sao?,cũng nhiều
3378,chơi được không?,chơi được
3379,tên gì?,nhiều quá nhớ không hết
3380,thân với ai?,thân với gái.
3381,lúc mày buồn thì sao?,buồn thì ăn cho hết buồn
3382,hay đi chơi chung không?,cũng có
3383,nó là người như thế nào?,người nhiều tiền dẫn tao đi ăn
3384,nó quê ở đâu?,Hồ Chí Minh
3385,quan điểm bạn bè của mày là gì?,chơi được thì chơi
3386,sở thích chung,ăn uống
3387,Bạn thân là ai?,thân ai nấy lo
3388,Có nhiều bạn không?,"Nhiều bạn,"
3389,Có đứa nào thấp không?,1 vài người.
3390,Có đứa nào cao không?,Không có.
3391,Có đứa nào mập không?,1 người.
3392,Có đứa nào ốm không?,1 vài người
3393,Hay đi chơi không?,Có.
3394,bạn bè mày là ai?,là giang hồ nhất xóm
3395,quan điểm bạn bè cảu mày là sao?,"là anh em có họa cùng chỉa, có sướng cùng hường."
3396,bạn có nhiều bạn bè không?,tuy không nhiều nhưng được cái ít
3397,bạn bè anh nghĩ sao về anh?,họ nghĩ tôi là một chú hề
3398,quan điểm của bạn về tình bạn?,đó là sự tấu hài của những chú hề
3399,bạn bè bạn ở đâu khi bạn có tâm trạng không tốt?,họ diễn hề cho tôi vui
3400,Bạn mày đâu?,bạn tao ở Sài Gòn luôn
3401,Bạn thân nhiều không?,không nhiều
3402,Nhiêu bạn?,tâm chục đứa
3403,Ít bạn vui hay buồn?,ít bạn vui
3404,Nhiều bạn vui hay buồn?,nhiều bạn hơi chán
3405,Chơi chung nữ nhiều không?,nhiều chứ
3406,Mày thích chơi kiểu gì?,đi ăn đi cà phê thôi
3407,Chơi chung bạn đại học hay ở quê?,chơi chung bạn cấp 3 ở đây
3408,Gặp nhiều không?,gặp nhiều
3409,bạn bè như thế nào?,điên điên khùng khùng
3410,có hay cáu bẩn không?,đám bạn mình là dơ
3411,Bạn ông tên gì?,tên Đạt
3412,có nhiều bạn không?,Có
3413,quan điểm bạn bè như thế nào?,Tốt
3414,ông có nhìu bạn bè trên đh hong?,bạn thì ít nhưng bè thì nhiều :))
3415,thường thường ông hay đi chơi zới ai zay?,thường tui đi chơi với mấy đứa bạn tui thân nhất
3416,Bạn thân thích gì?,game
3417,Lần cuối gặp nhau?,hôm qua
3418,Có hay đi chơi với bạn mày không?,Ít lắm
3419,Quan điểm bạn bè mày là gì?,Thà ít mà chất lượng
3420,Mày bị bạn mày lợi dụng chưa?,Bị rồi :)))
3421,Mày có đánh nhau với bạn mày chưa?,Rồi
3422,bạn bè nhiều không,không
3423,bạn bè như nào,như cớt
3424,tậm trạng như nào,chán
3425,quan hệ rộng?,hơi rộng.
3426,bạn bè như nào?,hút thuốc.
3427,tâm trạng?,có thuốc là được.
3428,Vui hay buồn?,No idea
3429,Có bao nhiêu bạn?,Không đếm được
3430,Có bạn thân không?,Có
3431,thằng khứa đó sao rồi?,nó đi bán muối rồi
3432,Mày có nhiều bạn không?,Ui nguyên một đám
3433,Bạn của mày có hay chơi thể thao không?,Một lũ nghiện game thì mày nghĩ nó hay chơi thể thao lắm à
3434,Bạn mày bị dở người à?,"Hầu hết đều bị lên cơn, một ngày chục lần là đã ít lắm rồi"
3435,Tâm trạng mày sau khi biết điểm thi thế nào ?,tạch tạch tạch
3436,Quan điểm của mày về một người bạn tốt như thế nào ?,biết điều
3437,Mày có nhiều bạn không ?,có
3438,Bạn mày có đẹp không ?,có
3439,Bạn mày đã chơi chó với mày lần nào chưa ?,nó cắn chứ không có chơi chó với tao
3440,Bạn thân nhất chơi chung bao lâu ?,15 năm
3441,Bạn bè chơi chung có ny chưa ?,Cũng không biết nữa
3442,Tính cách tụi nó như thế nào ?,Khùng điên
3443,Thường tụ tập bạn bè đi đâu chơi ?,Đi cà phê
3444,Mày có xem tao là bạn?,Tớ xem cậu là tri kỉ.
3445,Mày thích gì ở bạn mày?,Luôn cho vay tiền trong 1 nốt nhạc.
3446,Mày cảm thấy thế nào khi ở gần bạn bè?,Cảm thấy an toàn và thư thái.
3447,Bạn bè mày có tốt không?,Tốt như cậu đó.
3448,Bạn thân mày tên gì?,"Tên Nguyễn Thanh Tùng , ba tên Nguyễn Thanh Nguyễn , má tên Lê Thị Lê."
3449,Mày có xem tao là bạn?,Tớ xem cậu là tri kỉ.
3450,Mày thích gì ở bạn mày?,Luôn cho vay tiền trong 1 nốt nhạc.
3451,Mày cảm thấy thế nào khi ở gần bạn bè?,Cảm thấy an toàn và thư thái.
3452,Bạn bè mày có tốt không?,Tốt như cậu đó.
3453,Bạn thân mày tên gì?,"Tên Nguyễn Thanh Tùng , ba tên Nguyễn Thanh Nguyễn , má tên Lê Thị Lê."
3454,Bạn mày nhiều không?,Nhiều lắm
3455,Bạn thân mày là ai?,My Talking Tom
3456,Mày đang buồn hả?,"No, Im fine"
3457,Chơi với thằng Tom vui không?,"Không, nó nhại tiếng tao"
3458,Mày chơi với nó bao lâu?,2 năm
3459,Mày có bao nhiêu bạn?,nhiều lắm
3460,Bạn mày học trường nào?,học chung với mày
3461,Làm bạn được bao lâu rồi?,hơn 20 năm rồi
3462,Bạn mày học đâu?,chung trường luôn
3463,Sở thích của bạn mày là gì?,thích xài tiền
3464,Nhiều bạn bè không ?,Nhiều chứ
3465,Thích chơi với ai ?,Ai cũng chơi
3466,Bạn thân tên gì ?,Hoàng
3467,Có học chung môn với bạn không ?,Có
3468,Có hay đi chơi với bạn bè không ?,Cũng hay đi lắm
3469,Bạn có nhiều bạn không ?,Không ít à
3470,Bạn thân bạn là ai?,Hỏi chi
3471,Bạn có bao nhiêu người bạn thân ?,Có 4 người
3472,Bạn thích chơi với những người như thế nào,Những người vui vẻ biết lắng nghe.
3473,Hiện bạn cảm thấy như thế nào ?,Bình thường
3474,Bạn thích có nhiều người bạn hay một vài người nhưng thân ?,Ở chắc ít người nhưng thân.
3475,Mày có bao nhiêu bạn?,nhiều lắm
3476,Bạn mày học trường nào?,học chung với mày
3477,Làm bạn được bao lâu rồi?,hơn 20 năm rồi
3478,Bạn mày học đâu?,chung trường luôn
3479,Bạn bè ông có nhiều không?,Không ông à
3480,Ông hay đi đâu với bạn bè của ông?,Đi đá banh ông
3481,Bạn bè nên chơi sao cho được?,Phải uy tín
3482,Có nhiều bạn ở đại học không?,Không
3483,Bạn Mai của bạn sao lùn thế?,Chắc do gen bạn đó
3484,Bạn Mai sao trông gầy thế?,Béo như heo luôn chứ gầy gì
3485,Liệt kê về mẫu homies bạn thích chơi?,"Thân thiện, vui tánh"
3486,Bạn thường đi đâu chơi với bạn bè?,Cà phê
3487,Bạn bè của bạn có tệ nạn không?,Không ạ
3488,có bao nhiêu bạn thân ?,2.
3489,hay đi ăn với bạn thân không ?,1 tuần đi 3 lần.
3490,Tính cách của bạn thân như thế nào ?,"bị khùng, hay giỡn ."
3491,Bạn thân học cùng trường không ?,"có, học chung lớp"
3492,Bạn thân có bạn gái chưa?,chưa
3493,Bạn thân và bạn hay đi đâu?,đi cà phê .
3494,cảm thấy như thế nào về bạn thân ?,rất quý bọn nó.
3495,Quan điểm của bạn về tình bạn như thế nào?,trung thực.
3496,Bạn có thích bạn Khang không?,không vì mình đánh giá theo chủ quan là người hỏi câu này không dễ thương rồi.
3497,Mày chơi với tao bao lâu rồi ?,năm nhất tới giờ
3498,Mày rớt bao nhiêu môn rồi ?,hỏi quài mày
3499,Có người yêu chưa ?,rồi
3500,Nghĩ gì về tao ?,bình thường
3501,Có hút thuốc ko ?,không
3502,Có hay nhậu không ?,không
3503,Đô nhiêu lon ?,không biết uống
3504,Mày chơi với tao bao lâu rồi ?,năm nhất tới giờ
3505,Mày rớt bao nhiêu môn rồi ?,hỏi quài mày
3506,Có người yêu chưa ?,rồi
3507,Nghĩ gì về tao ?,bình thường
